Plot_ID,Plot_Number,Plot_Code,Centroid_Lat,Centroid_Lon,Cordinates,Linetype,Layer
500,325,C,23.6110823,58.18740885,"23.6110823,58.18740885",ByBlock,00_plots
501,409,A,23.60966842,58.18655701,"23.60966841616152,58.18655701012115",ByBlock,00_plots
502,D7F,D,23.60912199,58.18725226,"23.609121991570373,58.187252263251224",,MARYAM_PLANNING
503,431,D,23.60929405,58.18674145,"23.609294050000003,58.18674145",,00_resid
504,D7D,D,23.6092025,58.18750459,"23.609202499497133,58.18750459187672",,MARYAM_PLANNING
505,461,D,23.60899182,58.18684325,"23.608991819377344,58.186843245591696",,00_resid
506,32F,A,23.610351,58.18681148,"23.610350996657385,58.18681148074643",ByBlock,00_plots
507,42D,D,23.60934012,58.1878801,"23.609340119189252,58.187880096271755",ByBlock,00_resid
508,933,B,23.61096599,58.1865639,"23.610965990916885,58.18656390150613",ByBlock,00_resid
509,419,D,23.60946387,58.18824843,"23.60946387124425,58.18824843453994",ByBlock,00_plots
510,399,A,23.61036015,58.18628623,"23.610360146715376,58.1862862307664",ByBlock,00_plots
511,DAD,A,23.61025185,58.18596395,"23.61025185,58.18596395",ByBlock,00_resid
512,2F0,A,23.6116839,58.18630095,"23.6116839,58.186300949999996",ByBlock,00_plots
513,558,A,23.61145334,58.18661638,"23.611453339993435,58.18661637569276",,00_resid
514,35D,C,23.6106662,58.18793862,"23.61066620334262,58.18793861925358",ByBlock,00_plots
515,3.00E+01,A,23.610014,58.18642317,"23.610014003725375,58.18642317089116",,00_resid
516,30C,A,23.61146576,58.18565162,"23.61146575935695,58.18565161923197",ByBlock,00_plots
517,56F,A,23.61161412,58.18609324,"23.611614119536217,58.18609324471041",ByBlock,00_plots
518,3D5,A,23.61007881,58.18603242,"23.610078814088236,58.18603241845632",ByBlock,00_resid
519,92F,B,23.61108651,58.18692576,"23.611086505688725,58.1869257575018",ByBlock,00_resid
520,469,D,23.60892685,58.1866499,"23.60892685,58.1866499",ByBlock,00_plots
521,391,C,23.6103831,58.18768548,"23.61038309556644,58.18768548237602",ByBlock,00_plots
522,56D,A,23.61176887,58.18754807,"23.611768867233433,58.187548071090504",ByBlock,00_plots
523,355,C,23.61073271,58.18754717,"23.610732708741708,58.18754717415764",,00_resid
524,314,A,23.61140013,58.18546404,"23.61140013169793,58.18546404029246",ByBlock,00_plots
525,565,A,23.6110949,58.18599553,"23.611094896719028,58.1859955307683",ByBlock,00_plots
526,33D,C,23.6110158,58.18780031,"23.61101579519037,58.18780030534633",ByBlock,00_plots
527,D86,D,23.60963485,58.18776319,"23.609634848754837,58.187763194707934",,MARYAM_PLANNING
528,3F5,A,23.60984095,58.18649165,"23.609840949999995,58.18649164999999",,00_resid
529,34D,C,23.61081355,58.18574173,"23.61081354671538,58.18574173076641",ByBlock,00_plots
530,D80,D,23.60905557,58.1870451,"23.60905557383218,58.187045099780235",,MARYAM_PLANNING
531,D83,D,23.60969727,58.18794729,"23.609697273033166,58.18794728660887",,MARYAM_PLANNING
532,3BD,A,23.61018705,58.1863547,"23.61018705,58.1863547",,00_resid
533,567,A,23.61074875,58.18613247,"23.61074875328462,58.1861324692336",,00_resid
534,2CC,A,23.61187012,58.1868553,"23.61187011918925,58.186855296271766",,00_resid
535,92E,B,23.61102724,58.18674106,"23.611027240309124,58.18674105739745",ByBlock,00_resid
536,56E,A,23.61205994,58.18742777,"23.612059940136362,58.18742777176002",ByBlock,00_resid
537,2F8,A,23.6116411,58.18717505,"23.6116411,58.18717505000001",ByBlock,00_plots
538,3A5,B,23.61028445,58.18720292,"23.610284453338984,58.187202919251725",ByBlock,00_resid
539,411,D,23.6095288,58.18843427,"23.60952880264968,58.188434273556304",,00_resid
540,361,A,23.61064045,58.1858102,"23.610640449999995,58.185810200000006",ByBlock,00_resid
541,570,B,23.6106885,58.18686047,"23.610688503064967,58.18686046914942",,00_plots
542,369,A,23.61057565,58.18620095,"23.610575645604317,58.18620095119545",ByBlock,00_plots
543,2BC,A,23.61199593,58.18722975,"23.611995930677573,58.187229754183605",ByBlock,00_plots
544,439,D,23.60927658,58.1876968,"23.609276580412764,58.18769679796154",ByBlock,00_resid
545,429,D,23.60935747,58.18693566,"23.60935746561903,58.18693566489888",ByBlock,00_plots
546,2.00E+00,A,23.61174638,58.18648695,"23.61174638080893,58.186486953732235",,00_resid
547,385,A,23.61046735,58.18587867,"23.610467353284623,58.18587866923359",ByBlock,00_resid
548,300,A,23.61157919,58.18699088,"23.61157919043585,58.186990880809304",ByBlock,00_plots
549,324,C,23.61125813,58.187342,"23.61125812801332,58.18734200338256",ByBlock,00_plots
550,415,A,23.60956185,58.18623986,"23.60956185086115,58.186239855573646",ByBlock,00_plots
551,3C1,B,23.6101762,58.18688062,"23.61017620334262,58.186880619253586",ByBlock,00_plots
552,318,A,23.61138689,58.18641211,"23.611386892766152,58.18641210882481",ByBlock,00_plots
553,2EC,A,23.61170359,58.18736108,"23.611703590647636,58.1873610807685",ByBlock,00_plots
554,55C,A,23.61151523,58.18680055,"23.611515229115653,58.18680054701804",,00_resid
555,56A,C,23.6109075,58.18747802,"23.610907503342617,58.18747801925357",ByBlock,00_plots
556,554,A,23.61157919,58.18699088,"23.61157919043585,58.186990880809304",ByBlock,00_resid
557,980,B,23.6100014,58.18694978,"23.61000139665739,58.18694978074644",ByBlock,00_resid
558,308,A,23.61152884,58.18583948,"23.61152884064305,58.18583948076805",ByBlock,00_plots
559,33C,A,23.61098665,58.18567325,"23.610986650000005,58.18567325000001",ByBlock,00_plots
560,3.00E+04,B,23.61010968,58.18727209,"23.61010967638443,58.18727208501167",,00_resid
561,3A9,C,23.61024854,58.18814447,"23.610248541926534,58.18814446844022",ByBlock,00_plots
562,430,D,23.60941887,58.18714107,"23.60941887475769,58.187141068303866",ByBlock,00_plots
563,D84,D,23.60975856,58.18813203,"23.60975856000863,58.18813202886039",,MARYAM_PLANNING
564,D82,D,23.60950199,58.18739087,"23.60950198553831,58.18739087148468",ByBlock,00_resid
565,379,C,23.6104914,58.18800778,"23.61049139665738,58.18800778074643",ByBlock,00_plots
566,3F9,B,23.60982718,58.18702143,"23.609827179436827,58.18702142821381",ByBlock,00_plots
567,46D,D,23.6088671,58.18646415,"23.608867102919156,58.18646415194868",ByBlock,00_plots
568,56C,C,23.61136489,58.18765942,"23.61136488516436,58.187659420950276",ByBlock,00_plots
569,564,A,23.61126782,58.18592682,"23.611267824806244,58.1859268248147",,00_resid
570,34F,A,23.610841,58.18786948,"23.610840996657384,58.18786948074643",ByBlock,00_resid
571,3ED,A,23.60990575,58.1861009,"23.60990575,58.18610090000001",,00_resid
572,3A8,C,23.61017999,58.18794788,"23.61017999113884,58.18794788067333",ByBlock,00_plots
573,3.00E+05,B,23.60993385,58.1873388,"23.609933852422742,58.18733880235329",,00_resid
574,381,B,23.6104592,58.18713378,"23.610459196657388,58.18713378074643",ByBlock,00_resid
575,2D4,A,23.61180825,58.18667115,"23.611808250000003,58.186671149999995",ByBlock,00_resid
576,D85,D,23.60981941,58.18832003,"23.609819406673772,58.18832003011038",,MARYAM_PLANNING
577,449,D,23.60916122,58.18635354,"23.609161219606,58.18635353896789",ByBlock,00_plots
578,566,A,23.61092185,58.186064,"23.61092185,58.186064000000016",ByBlock,00_plots
579,36D,C,23.61055791,58.18761632,"23.610557911498347,58.18761631826412",ByBlock,00_plots
580,2C4,A,23.611932,58.18703945,"23.611932,58.18703944999999",ByBlock,00_resid
581,3A7,C,23.61011604,58.18774998,"23.610116036240797,58.18774998334044",ByBlock,00_plots
582,D0E,D,23.60957046,58.18758266,"23.60957046278868,58.187582661937505",ByBlock,00_resid
583,425,D,23.609402,58.18806425,"23.609402000000003,58.188064250000004",ByBlock,00_resid
584,445,D,23.60922887,58.18654745,"23.609228869298946,58.18654744590426",,00_resid
585,32C,B,23.6111597,58.18560475,"23.6111597,58.18560475",,00_resid
586,401,A,23.60973265,58.18616937,"23.609732653284627,58.18616936923358",ByBlock,00_plots
587,56B,C,23.6111906,58.18773112,"23.611190603342617,58.187731119253584",ByBlock,00_plots
